Species,Forest,Summer,Fall,Spring,Notes
Snow Goose,Low,Low,Low,Low,
Canada Goose,Low,Low,Low,Low,
Mute Swan,Low,Low,Low,Low,
Wood Duck,Medium,Medium,Medium,Medium,Cavity nester--uses cavities in trees in a wide variety of setting including forest
Blue-winged Teal,Low,Low,Low,Low,
Northern Shoveler,Low,Low,Low,Low,
Gadwall,Low,Low,Low,Low,
American Wigeon,Low,Low,Low,Low,
Mallard,Low,Low,Low,Low,Possible on ponds/wetlands within forest 
American Black Duck,Low,Low,Low,Low,Possible on ponds/wetlands within forest 
Northern Pintail,Low,Low,Low,Low,
Green-winged Teal,Low,Low,Low,Low,
Redhead,Low,Low,Low,Low,
Ring-necked Duck,Low,Low,Low,Low,
Greater Scaup,Low,Low,Low,Low,
Lesser Scaup,Low,Low,Low,Low,
Common Goldeneye,Low,Low,Low,Low,
Hooded Merganser,Low,Low,Low,Low,
Common Merganser,Low,Low,Low,Low,
Red-breasted Merganser,Low,Low,Low,Low,
Wild Turkey,Low,Low,Low,Low,Mostly in open areas near forest but can forage within forest
Ruffed Grouse,High,Medium,Medium,High,"Low density but widespread, especially in successional woodland; most likely to be detected in spring when drumming"
Rock Pigeon,Low,Low,Low,Low,
Mourning Dove,Low,Low,Low,Low,"Occurs in a wide variety of mostly open areas, including forest clearings"
YELLOW-BILLED CUCKOO,High,Medium,Low,Medium,"More likely in forest than Black-billed Cuckoo, and can be fairly common in Frontenac Arch area and more widely during tent caterpillar outbreaks"
Black-billed Cuckoo,Medium,Medium,Medium,Medium,"Generally in open woodlands and shrublands, but can occur in more mature forest especially during tent caterpillar outbreaks"
Chimney Swift,Low,Low,Low,Low,
Ruby-throated Hummingbird,High,High,High,High,
Virginia Rail,Low,Low,Low,Low,
Common Gallinule,Low,Low,Low,Low,
American Coot,Low,Low,Low,Low,
Black-bellied Plover,Low,Low,Low,Low,
Killdeer,Low,Low,Low,Low,
Semipalmated Plover,Low,Low,Low,Low,
American Woodcock,Medium,Low,Low,Medium,"Breeds in successional woodland, but vocalizes mostly in open areas during spring courtship displays"
