Species,Forest,Summer,Fall,Spring,,,
Snow Goose,low,low,low,low,,Migratory,
Canada Goose,low,low,low,low,,Some stick around,
Mute Swan,low,low,low,low,,Its an invasive,
Wood Duck,med,me,low,med,nests in tree cavities,migratory,
Blue-winged Teal,low,low,low,low,,Migratory,
Northern Shoveler,low,low,low,low,,migratory,
Gadwall,low,low,low,low,,migratory,"Note, some of these ducks on the list may be found in winter in the St. Lawrence"
American Wigeon,low,low,low,low,Can be found in pools within forests,migratory,
Mallard,low,low,low,low,Can be found in pools within forests,migratory,
American Black Duck,low,low,low,low,,migratory,
Northern Pintail,low,low,low,low,,migratory,
Green-winged Teal,low,low,low,low,,migratory,
Redhead,low,low,low,low,,migratory,
Ring-necked Duck,low,low,low,low,,migratory,
Greater Scaup,low,low,low,low,,migratory,
Lesser Scaup,low,low,low,low,,migratory,
Common Goldeneye,low,low,med,low,nests in tree cavities,migratory,
Hooded Merganser,low,low,low,low,"Can be found in pools within forests, nests in tree cavities",migratory,
Common Merganser,low,low,low,low,may nest in tree cavities,migratory,
Red-breasted Merganser,low,low,low,low,,may stick around,
Wild Turkey,high,high,high,high,,may stick around,
Ruffed Grouse,high,high,high,high,,,
Rock Pigeon,low,low,low,low,,,
Mourning Dove,low,low,low,low,Sometimes medium,,
Black-billed Cuckoo,low,low,low,low,Young forests,Migratory,
Chimney Swift,Low,Low,Low,Low,May fly over them foraging,Migratory,
Ruby-throated Hummingbird,high,high,low,low,Although late spring early fall ok,Migratory,
Virginia Rail,low,low,low,low,,Migratory,
Common Gallinule,low,low,low,low,,Migratory,
American Coot,low,low,low,low,,Migratory,
Black-bellied Plover,low,low,low,low,,Migratory,
Killdeer,low,low,low,low,,Migratory,
Semipalmated Plover,low,low,low,low,,Migratory,
American Woodcock,med,med,low,low,edges of forested wetlands,Migratory,
Wilson's Snipe,low,low,low,low,,Migratory,
Spotted Sandpiper,med,med,low,low,Along forested streams,Migratory,
Solitary Sandpiper,low,low,low,low,,Migratory,
Lesser Yellowlegs,low,low,low,low,,Migratory,
Greater Yellowlegs,low,low,low,low,,Migratory,
Least Sandpiper,low,low,low,low,,Migratory,
Pectoral Sandpiper,low,low,low,low,,Migratory,
Semipalmated Sandpiper,low,low,low,low,,Migratory,
Bonaparte's Gull,low,low,low,low,"May fly over forested areas regularly, but does'nt use them",Migratory,
Ring-billed Gull,low,low,low,low,,,
American Herring Gull,low,low,low,low,,,
Great Black-backed Gull,low,low,low,low,,,
Caspian Tern,low,low,low,low,,migratory,
Black Tern,low,low,low,low,"May fly over forested areas regularly, but does'nt use them",migratory,
Common Tern,low,low,low,low,"May fly over forested areas regularly, but does'nt use them",migratory,
Pied-billed Grebe,low,low,low,low,,migratory,
Red-necked Grebe,low,low,low,low,,migratory,
Common Loon,low,low,low,low,,migratory,
Double-crested Cormorant,low,low,low,low,,migratory,
American Bittern,low,low,low,low,,migratory,
Green Heron,low,low,low,low,,migratory,
Great Egret,low,low,low,low,,migratory,
Great Blue Heron,low,low,low,low,,migratory,
Turkey Vulture,med,med,low,low,May nest and forage in forests,migratory,
Osprey,low,low,low,low,,,
Sharp-shinned Hawk,high,high,high,high,,,
Cooper's Hawk,high,high,high,high,,,
Northern Harrier,low,low,low,low,,,
Bald Eagle,low,low,low,low,,,
Broad-winged Hawk,high,high,high,high,,migratory,
Red-shouldered Hawk,high,high,high,high,,migratory,
Red-tailed Hawk,med,med,med,med,Mostly along forest edges,,
Great Horned Owl,high,high,high,high,,,
Barred Owl,high,high,high,high,,,
Belted Kingfisher,low,low,low,low,"seen along forested streams, rivers and lakes",migratory,
Yellow-bellied Sapsucker,high,high,high,high,,migratory,
Red-bellied Woodpecker,high,high,high,high,,,
Downy Woodpecker,high,high,high,high,,,
Hairy Woodpecker,high,high,high,high,,,
Pileated Woodpecker,high,high,high,high,,,
Northern Flicker,low,low,low,low,May nest in forest edges,migratory,
American Kestrel,low,low,low,low,May nest in forest tree cavities,migratory,
Merlin,low,low,low,low,May nest in conifer forest tree cavities,,
Peregrine Falcon,low,low,low,low,,migratory,
Olive-sided Flycatcher,low,low,low,low,forest edges of peatlands,migratory,
Eastern Wood-Pewee,high,high,high,high,,migratory,
Yellow-bellied Flycatcher,low,low,low,low,forest edges of peatlands,migratory,
Alder Flycatcher,low,low,low,low,,migratory,
Willow Flycatcher,low,low,low,low,,migratory,
