Species,Forest,Summer,Fall,Spring
Snow Goose,Low,Low,Medium,Medium
Canada Goose,Low,High,High,High
Mute Swan,Low,Medium,Medium,Medium
Wood Duck,Medium,High,High,High
Blue-winged Teal,Low,Low,Medium,Medium
Northern Shoveler,Low,Low,Medium,Medium
Gadwall,Low,Low,Medium,Medium
American Wigeon,Low,High,High,High
Mallard,Low,High,High,High
American Black Duck,Low,High,High,High
Northern Pintail,Low,Low,Medium,Medium
Green-winged Teal,Low,High,High,High
Redhead,Low,Low,Medium,Medium
Ring-necked Duck,Low,High,High,High
Greater Scaup,Low,Low,Medium,Medium
Lesser Scaup,Low,Low,Medium,Medium
Common Goldeneye,Low,Low,Medium,Medium
Hooded Merganser,Low,High,High,High
Common Merganser,Low,High,High,High
Red-breasted Merganser,Low,Low,Medium,Medium
Wild Turkey,High,High,High,High
Ruffed Grouse,High,High,High,High
Rock Pigeon,Low,High,High,High
Mourning Dove,Low,Medium,Medium,Medium
Black-billed Cuckoo,Medium,Medium,Low,Low
Chimney Swift,Medium,High,High,High
Ruby-throated Hummingbird,Medium,High,High,High
Virginia Rail,Low,Medium,Medium,Medium
Common Gallinule,Low,Medium,Medium,Medium
American Coot,Low,Low,Low,Low
Black-bellied Plover,Low,Low,Low,Low
Killdeer,Low,High,High,High
Semipalmated Plover,Low,Low,Medium,Medium
American Woodcock,Low,High,Medium,Medium
Wilson's Snipe,Low,High,High,High
Spotted Sandpiper,Low,High,High,High
Solitary Sandpiper,Low,Low,Medium,Medium
Lesser Yellowlegs,Low,Low,Medium,Medium
Greater Yellowlegs,Low,Low,Medium,Medium
Least Sandpiper,Low,Low,Medium,Medium
Pectoral Sandpiper,Low,Low,Medium,Medium
Semipalmated Sandpiper,Low,Low,Medium,Medium
Bonaparte's Gull,Low,Low,Medium,Medium
Ring-billed Gull,Low,High,High,High
American Herring Gull,Low,High,High,High
Great Black-backed Gull,Low,High,Low,Low
Caspian Tern,Low,Medium,Medium,Medium
Black Tern,Low,Medium,Medium,Medium
Common Tern,Low,High,High,High
Pied-billed Grebe,Low,High,High,High
Red-necked Grebe,Low,Low,Low,Low
Common Loon,Low,Medium,Medium,Medium
Double-crested Cormorant,Low,High,High,High
American Bittern,Low,High,High,High
Green Heron,Low,High,High,High
Great Egret,Low,High,High,High
Great Blue Heron,Low,High,High,High
Turkey Vulture,Medium,Medium,High,High
Osprey,Low,High,High,High
Sharp-shinned Hawk,Medium,High,High,High
Cooper's Hawk,Medium,High,High,High
Northern Harrier,Low,High,High,High
Bald Eagle,Low,High,High,High
Broad-winged Hawk,High,High,High,High
Red-shouldered Hawk,Medium,Medium,Medium,Medium
Red-tailed Hawk,Medium,High,High,High
Great Horned Owl,High,High,High,High
Barred Owl,High,High,High,High
