Species,Forest,Summer,Fall,Spring,Expert
Snow Goose,Low,Low,Low,Low,Jeff Bolsinger
Canada Goose,Low,Low,Low,Low,Jeff Bolsinger
Mute Swan,Low,Low,Low,Low,Jeff Bolsinger
Wood Duck,Medium,Medium,Medium,Medium,Jeff Bolsinger
Blue-winged Teal,Low,Low,Low,Low,Jeff Bolsinger
Northern Shoveler,Low,Low,Low,Low,Jeff Bolsinger
Gadwall,Low,Low,Low,Low,Jeff Bolsinger
American Wigeon,Low,Low,Low,Low,Jeff Bolsinger
Mallard,Low,Low,Low,Low,Jeff Bolsinger
American Black Duck,Low,Low,Low,Low,Jeff Bolsinger
Northern Pintail,Low,Low,Low,Low,Jeff Bolsinger
Green-winged Teal,Low,Low,Low,Low,Jeff Bolsinger
Redhead,Low,Low,Low,Low,Jeff Bolsinger
Ring-necked Duck,Low,Low,Low,Low,Jeff Bolsinger
Greater Scaup,Low,Low,Low,Low,Jeff Bolsinger
Lesser Scaup,Low,Low,Low,Low,Jeff Bolsinger
Common Goldeneye,Low,Low,Low,Low,Jeff Bolsinger
Hooded Merganser,Low,Low,Low,Low,Jeff Bolsinger
Common Merganser,Low,Low,Low,Low,Jeff Bolsinger
Red-breasted Merganser,Low,Low,Low,Low,Jeff Bolsinger
Wild Turkey,Low,Low,Low,Low,Jeff Bolsinger
Ruffed Grouse,High,Medium,Medium,High,Jeff Bolsinger
Rock Pigeon,Low,Low,Low,Low,Jeff Bolsinger
Mourning Dove,Low,Low,Low,Low,Jeff Bolsinger
YELLOW-BILLED CUCKOO,High,Medium,Low,Medium,Jeff Bolsinger
Black-billed Cuckoo,Medium,Medium,Medium,Medium,Jeff Bolsinger
Chimney Swift,Low,Low,Low,Low,Jeff Bolsinger
Ruby-throated Hummingbird,High,High,High,High,Jeff Bolsinger
Virginia Rail,Low,Low,Low,Low,Jeff Bolsinger
Common Gallinule,Low,Low,Low,Low,Jeff Bolsinger
American Coot,Low,Low,Low,Low,Jeff Bolsinger
Black-bellied Plover,Low,Low,Low,Low,Jeff Bolsinger
Killdeer,Low,Low,Low,Low,Jeff Bolsinger
Semipalmated Plover,Low,Low,Low,Low,Jeff Bolsinger
American Woodcock,Medium,Low,Low,Medium,Jeff Bolsinger
Wilson's Snipe,Low,Low,Low,Low,Jeff Bolsinger
Spotted Sandpiper,Low,Low,Low,Low,Jeff Bolsinger
Solitary Sandpiper,Low,Low,Low,Low,Jeff Bolsinger
Lesser Yellowlegs,Low,Low,Low,Low,Jeff Bolsinger
Greater Yellowlegs,Low,Low,Low,Low,Jeff Bolsinger
Least Sandpiper,Low,Low,Low,Low,Jeff Bolsinger
Pectoral Sandpiper,Low,Low,Low,Low,Jeff Bolsinger
Semipalmated Sandpiper,Low,Low,Low,Low,Jeff Bolsinger
Bonaparte's Gull,Low,Low,Low,Low,Jeff Bolsinger
Ring-billed Gull,Low,Low,Low,Low,Jeff Bolsinger
American Herring Gull,Low,Low,Low,Low,Jeff Bolsinger
Great Black-backed Gull,Low,Low,Low,Low,Jeff Bolsinger
Caspian Tern,Low,Low,Low,Low,Jeff Bolsinger
Black Tern,Low,Low,Low,Low,Jeff Bolsinger
Common Tern,Low,Low,Low,Low,Jeff Bolsinger
Pied-billed Grebe,Low,Low,Low,Low,Jeff Bolsinger
Red-necked Grebe,Low,Low,Low,Low,Jeff Bolsinger
Common Loon,Low,Low,Low,Low,Jeff Bolsinger
Double-crested Cormorant,Low,Low,Low,Low,Jeff Bolsinger
American Bittern,Low,Low,Low,Low,Jeff Bolsinger
Green Heron,Low,Low,Low,Low,Jeff Bolsinger
Great Egret,Low,Low,Low,Low,Jeff Bolsinger
Great Blue Heron,Low,Low,Low,Low,Jeff Bolsinger
Turkey Vulture,Low,Low,Low,Low,Jeff Bolsinger
Osprey,Low,Low,Low,Low,Jeff Bolsinger
Sharp-shinned Hawk,High,High,High,High,Jeff Bolsinger
Cooper's Hawk,High,High,High,High,Jeff Bolsinger
American Goshawk,Medium,Low,Low,Low,Jeff Bolsinger
Northern Harrier,Low,Low,Low,Low,Jeff Bolsinger
Bald Eagle,Low,Low,Low,Low,Jeff Bolsinger
Broad-winged Hawk,High,High,High,High,Jeff Bolsinger
Red-shouldered Hawk,High,Medium,Medium,Medium,Jeff Bolsinger
Red-tailed Hawk,Low,Low,Low,Low,Jeff Bolsinger
Great Horned Owl,High,Medium,Medium,Medium,Jeff Bolsinger
Barred Owl,High,High,High,High,Jeff Bolsinger
Belted Kingfisher,Low,Low,Low,Low,Jeff Bolsinger
