deployment_num,project_name,recorder_lab_id_num,recorder_ID,firmware_version,micro_sd_ID,config_file_name,deployment_team,location_site_name,site_subname,latitude,longitude,gps_source,gps_accuracy_m,AM_housing,height_above_ground_m,dropoff_date,dropoff_time,dropoff_notes,habitat,setting,game_cam_present,num_game_cam_present,game_cam_deploy_num,pickup_date,pickup_time,working_at_retrieval,pickup_notes,recorder_checkin_date,recorder_checkin_notes,card_upload_date,card_upload_notes,card_data_size,FLAG,FLAG_comments
AM0041,North Country Wild,24,242A260463FAD01C,,15,June-19-2025.config,"Aidan Fauth, Liz Anderson",Grasse River,Grasse River - Cranberry Lake Wild Forest - Site 2,44.240528,-74.783405,gps,2,Case,1.5,20-Jun-25,14:41,In hard case. paired with second audiomoth (AM3_SD23) and game camera (C0347); this one did not get knocked off tree. Added point to map retroactively 10 July 2025. Logged to Aidan/Liz summer spreadsheet 17 July 2025,Deciduous,Rural,TRUE,1,C0347,11-Jul-25,13:04,,,11-Jul-25,,17-Jul-25,,,,
AM0042,North Country Wild,3,249C600363FAC63F,,23,June-19-2025.config,"Aidan Fauth, Liz Anderson",Grasse River,Grasse River - Cranberry Lake Wild Forest - Site 2,44.240528,-74.783405,gps,2,Ziplock,1.5,20-Jun-25,14:34,In ziplock bag. Paired with AM0041 and C0347. Deployed c. 1.5 m from ground.,Deciduous,Rural,TRUE,1,C0347,11-Jul-25,13:00,,Bag shredded by bear! Found on the ground and found hair snagged on tree. Added point to map retrocatively on 10 July 2025. Logged to summer spreadsheet 11 July 2025.,11-Jul-25,,11-Jul-25,uploaded to Summer 2025 AudioMoth Data/baggie_test/baggie/A003_SD023,,,
AM0043,North Country Wild,16,2466BE0464D67AE1,,4,June-19-2025.config,"Aidan Fauth, Liz Anderson",Raquette River,Raquette River - Sol's Island point 2,44.244579,-74.599009,gps,1,Case,2,20-Jun-25,12:25,In hard case. Can hear the road from point (but behind audio moth. Light flashing red when turned on. On small tree about 4 fee to the left of the camera tree.,Mixed,Rural,TRUE,1,C0349,11-Jul-25,9:56,,,11-Jul-25,,11-Jul-25,uploaded to Summer 2025 AudioMoth Data/baggie_test/case/A016_SD004,,,
AM0048,North Country Wild,23,2474750763FAC3ED,,9,June-19-2025.config,"Aidan, Liz",Oswegatchie River,Oswegatchie point 8; grassland w/pond,44.585173,-75.311451,gps,1.5,Ziplock,1.5,24-Jun-25,16:10,In ziplock bag; on same cluster of trees as camera; behind it on other branch; deployed with A018_SD001 and C0358,Grassland pond,Rural,TRUE,1,C0358,15-Jul-25,9:57,,,17-Jul-25,,17-Jul-25,,,FALSE,
AM0049,North Country Wild,18,24E1440163FAB36D,,1,June-19-2025.config,"Aidan, Liz",Oswegatchie River,Oswegatchie point 8; grassland w/pond,44.585173,-75.311451,gps,1.5,Case,1.5,24-Jun-25,16:10,In case; deployed with C0358 and AM0048. On same cluster of trees as C0358 and AM0048,Grassland pond,Rural,TRUE,1,C0358,15-Jul-25,9:57,,,17-Jul-25,,17-Jul-25,,,,
AM0050,North Country Wild,7,2403750364D67B21,,31,June-19-2025.config,"Aidan, Liz",Oswegatchie River,Oswegatchie round 2 point 7; Cooper Hill 1,44.209806,-75.307969,gps,1.5,Case,1.5,15-Jul-25,16:30,in case; moved from previous location; new sd but no new batteries; same red maple as camera,Deciduous,Rural,TRUE,1,C0365,13-Sep-25,12:17,FALSE,,16-Sep-25,,16-Sep-25,Looks good - data through July 27,14.11,FALSE,
AM0051,North Country Wild,8,247AA50864D67CF2,,32,June-19-2025.config,"Aidan, Liz",Oswegatchie River,Oswegatchie round 2 point 4; Huckleberry Lake (2),44.311134,-75.333807,,3.3,Ziplock,1.5,15-Jul-25,13:12,same tree as cam; moved w/out changing batteries,Mixed,Rural,TRUE,1,C0366,13-Sep-25,10:44,,,13-Sep-25,circuit board seems loose. SD card won't pop out like normal,18-Sep-25,recordings through 7/29/2025,16.63,TRUE,check unit before redeploying
AM0052,North Country Wild,20,245AAA0563FAB267,,16,June-19-2025.config,"Aidan, Liz",Oswegatchie River,Oswegatchie round 2 point 1 Wanakena,44.128472,-74.961453,gps,3.4,Case,1.5,11-Jul-25,14:55,same tree as C058_SD009,Mixed,Rural,TRUE,1,C0368,21-Sep-25,10:02,,flashing red and green upon retrieval,21-Sep-25,,21-Sep-25,recordings through 9 August 2025,33.4 gb,FALSE,
AM0053,North Country Wild,6,2453AC0264D67171,,10,June-19-2025.config,"Aidan, Liz",Grasse River,Grasse round 2 point 1 - Brandy Brook,44.24735,-74.777033,gps,2.1,Ziplock,1.5,11-Jul-25,12:25,same tree as C043_SD012; near road (busy),Mixed,Rural,TRUE,1,C0369,21-Sep-25,11:01,,no lights on retrieval,21-Sep-25,,21-Sep-25,recordings through 14 August 2025,39.78 gb,FALSE,
AM0054,North Country Wild,17,243EBE0164D67B51,,33,June-19-2025.config,"Aidan, Liz",Oswegatchie River,Oswegatchie Round 2 point 5 - River Rd,44.2657,-75.223638,gps,4,Case,1.5,14-Jul-25,14:29,same tree as C064_SD041; blueberries nearby,Mixed,Rural,TRUE,1,C064_SD041,13-Sep-25,11:37,TRUE,"flashing red when back at lab, so was working? 5:00 pm ish 13 Sept",22-Sep-25,,22-Sep-25,recordings through 17 August,37.9 gb,FALSE,
